,model,valset,seed,AP,AP50,AP75
0,macaquepose,MacaquePose,1,0.70836526,0.9206965,0.8374619
0,macaquepose,MacaquePose,2,0.7046978,0.9138484,0.81406945
0,macaquepose,MacaquePose,3,0.71913356,0.9249638,0.8382597
0,macaquepose,MacaqueCopyPaste,1,0.622787,0.8586839,0.7093741
0,macaquepose,MacaqueCopyPaste,2,0.6141793,0.84431875,0.7092033
0,macaquepose,MacaqueCopyPaste,3,0.6228622,0.84680384,0.7141672
0,macaquepose,MacaqueCopyPasteWild,1,0.7108324,0.9142916,0.82322854
0,macaquepose,MacaqueCopyPasteWild,2,0.7191348,0.91878986,0.8226439
0,macaquepose,MacaqueCopyPasteWild,3,0.7329403,0.9191822,0.8381489
0,macaquecp,MacaquePose,1,0.73117334,0.9263422,0.84898347
0,macaquecp,MacaquePose,2,0.726631,0.92481464,0.848108
0,macaquecp,MacaquePose,3,0.7185677,0.9208225,0.84484106
0,macaquecp,MacaqueCopyPaste,1,0.822191,0.9532255,0.90854484
0,macaquecp,MacaqueCopyPaste,2,0.8292983,0.954433,0.9111876
0,macaquecp,MacaqueCopyPaste,3,0.81580484,0.95553386,0.9097189
0,macaquecp,MacaqueCopyPasteWild,1,0.8045239,0.9551234,0.89868903
0,macaquecp,MacaqueCopyPasteWild,2,0.79816973,0.9502737,0.90545064
0,macaquecp,MacaqueCopyPasteWild,3,0.7924894,0.95296925,0.90322924
0,macaquecpw,MacaquePose,1,0.71415126,0.92943215,0.8450787
0,macaquecpw,MacaquePose,2,0.7344877,0.9270121,0.8458668
0,macaquecpw,MacaquePose,3,0.7300036,0.931638,0.8495283
0,macaquecpw,MacaqueCopyPaste,1,0.6751146,0.8927682,0.79645544
0,macaquecpw,MacaqueCopyPaste,2,0.71024024,0.893202,0.80672485
0,macaquecpw,MacaqueCopyPaste,3,0.70715183,0.89786947,0.8169931
0,macaquecpw,MacaqueCopyPasteWild,1,0.8106149,0.96095955,0.9249169
0,macaquecpw,MacaqueCopyPasteWild,2,0.8372697,0.95540273,0.92239016
0,macaquecpw,MacaqueCopyPasteWild,3,0.8243265,0.96323735,0.92263377
