metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
lemurs_0.01_0.4_0.7_0.1_doublekalman,68.74,63.507,76.786,68.205,77.344,79.315,86.049,81.275,71.732,87.512,77.003,67.386,79.93,78.396,80.031,84.108,95.377,74.667,17.333,8,22509,4253,1091,27,56,13,6,124,61.76,86.017,80.936,91.78,21660,5102,1940,23600,26762,96,75
lemurs_0.01_0.4_0.7_0.1_singlekalman,59.737,49.945,73.948,71.422,55.773,78.211,81.248,80.465,71.903,77.652,74.286,57.685,46.854,77.949,47.018,87.538,68.358,78.667,16,5.3333,23427,3335,10844,44,59,12,4,120,27.551,72.24,82.374,64.326,22045,4717,12226,34271,26762,118,75
lemurs_0.01_0.4_0.7_0.2_doublekalman,68.76,63.633,76.702,68.402,77.24,79.234,86.009,81.23,71.791,87.632,76.898,67.387,80.016,78.357,80.114,84.336,95.232,74.667,17.333,8,22570,4192,1130,26,56,13,6,125,61.763,85.97,81.051,91.523,21691,5071,2009,23700,26762,95,75
lemurs_0.01_0.4_0.7_0.2_singlekalman,59.748,49.971,73.903,71.697,55.639,78.15,81.2,80.48,72.032,77.632,74.481,57.821,46.562,77.897,46.723,87.792,68.129,78.667,16,5.3333,23495,3267,10991,43,59,12,4,121,27.157,72.257,82.684,64.165,22128,4634,12358,34486,26762,117,75
lemurs_0.01_0.4_0.7_0.3_doublekalman,68.776,63.636,76.73,68.404,77.268,79.266,86.039,81.245,71.806,87.618,76.924,67.4,79.983,78.374,80.076,84.302,95.226,74.667,17.333,8,22561,4201,1131,25,56,13,6,124,61.752,85.967,81.037,91.537,21687,5075,2005,23692,26762,95,75
lemurs_0.01_0.4_0.7_0.3_singlekalman,60.352,50.72,74.268,71.724,56.554,78.479,81.413,80.481,72.236,78.543,74.494,58.51,48.827,77.894,48.984,87.904,69.311,78.667,16,5.3333,23525,3237,10416,42,59,12,4,112,29.394,73.12,82.927,65.387,22193,4569,11748,33941,26762,115,75
lemurs_0.01_0.4_0.7_0.4_doublekalman,68.616,63.645,76.39,68.421,77.264,78.895,86.054,81.25,71.647,87.345,76.928,67.193,79.968,78.386,80.065,84.31,95.207,74.667,17.333,8,22563,4199,1136,26,56,13,6,123,61.745,85.547,80.652,91.076,21584,5178,2115,23699,26762,95,75
lemurs_0.01_0.4_0.7_0.4_singlekalman,60.697,51.301,74.276,71.77,57.249,78.554,81.342,80.498,72.263,78.937,74.575,58.868,50.564,77.9,50.714,88.039,70.227,78.667,16,5.3333,23561,3201,9989,40,59,12,4,110,31.107,73.577,82.909,66.134,22188,4574,11362,33550,26762,114,75
lemurs_0.01_0.4_0.7_0.5_doublekalman,68.703,63.811,76.389,68.445,77.48,78.894,86.034,81.266,71.657,87.4,77.012,67.309,80.102,78.431,80.192,84.265,95.389,74.667,17.333,8,22551,4211,1090,24,56,13,6,123,61.927,85.602,80.611,91.252,21573,5189,2068,23641,26762,94,75
lemurs_0.01_0.4_0.7_0.5_singlekalman,60.702,51.308,74.281,71.776,57.254,78.55,81.338,80.506,72.267,78.928,74.588,58.871,50.463,77.946,50.617,87.99,70.188,78.667,16,5.3333,23548,3214,10002,41,59,12,4,112,31.058,73.584,82.916,66.14,22190,4572,11360,33550,26762,114,75
lemurs_0.01_0.4_0.7_0.6_doublekalman,68.686,63.794,76.374,68.49,77.391,78.884,86.01,81.259,71.673,87.407,76.989,67.294,80.129,78.42,80.226,84.362,95.326,74.667,17.333,8,22577,4185,1107,26,56,13,6,121,61.924,85.557,80.637,91.116,21580,5182,2104,23684,26762,94,75
lemurs_0.01_0.4_0.7_0.6_singlekalman,60.835,51.533,74.284,71.795,57.521,78.557,81.342,80.51,72.278,79.102,74.601,59.011,51.076,77.947,51.226,88.02,70.521,78.667,16,5.3333,23556,3206,9847,40,59,12,4,109,31.665,73.79,82.946,66.455,22198,4564,11205,33403,26762,113,75
lemurs_0.01_0.4_0.7_0.7_doublekalman,68.684,63.788,76.376,68.486,77.387,78.886,86.011,81.259,71.672,87.407,76.986,67.291,80.143,78.419,80.241,84.37,95.334,74.667,17.333,8,22579,4183,1105,26,56,13,6,120,61.936,85.557,80.637,91.116,21580,5182,2104,23684,26762,94,75
lemurs_0.01_0.4_0.7_0.7_singlekalman,60.833,51.529,74.285,71.791,57.518,78.558,81.342,80.51,72.276,79.102,74.598,59.009,51.091,77.946,51.241,88.028,70.527,78.667,16,5.3333,23558,3204,9845,40,59,12,4,108,31.677,73.787,82.942,66.452,22197,4565,11206,33403,26762,113,75
lemurs_0.01_0.4_0.7_0.8_doublekalman,68.691,63.797,76.374,68.446,77.466,78.865,86.021,81.287,71.652,87.343,77.064,67.31,80.297,78.422,80.398,84.377,95.496,74.667,17.333,8,22581,4181,1065,27,56,13,6,120,62.089,85.625,80.64,91.267,21581,5181,2065,23646,26762,95,75
lemurs_0.01_0.4_0.7_0.8_singlekalman,60.857,51.379,74.523,71.826,57.323,78.74,81.62,80.545,72.42,79.172,74.674,59.121,50.688,77.954,50.837,88.069,70.286,78.667,16,5.3333,23569,3193,9964,40,59,12,4,104,31.272,74.039,83.406,66.564,22321,4441,11212,33533,26762,113,75
lemurs_0.01_0.4_0.7_0.9_doublekalman,68.69,63.794,76.379,68.443,77.463,78.869,86.024,81.284,71.652,87.343,77.061,67.307,80.297,78.419,80.398,84.377,95.496,74.667,17.333,8,22581,4181,1065,27,56,13,6,120,62.087,85.625,80.64,91.267,21581,5181,2065,23646,26762,95,75
lemurs_0.01_0.4_0.7_0.9_singlekalman,60.901,51.419,74.574,71.861,57.35,78.777,81.656,80.555,72.462,79.172,74.709,59.148,50.691,77.956,50.837,88.069,70.286,78.667,16,5.3333,23569,3193,9964,39,59,12,4,104,31.278,74.169,83.551,66.681,22360,4402,11173,33533,26762,113,75
lemurs_0.01_0.4_0.7_0_doublekalman,68.788,63.488,76.905,68.185,77.346,79.429,86.07,81.281,71.78,87.557,77.02,67.437,79.953,78.398,80.054,84.104,95.405,74.667,17.333,8,22508,4254,1084,27,56,13,6,122,61.785,86.309,81.197,92.107,21730,5032,1862,23592,26762,97,75
lemurs_0.01_0.4_0.7_0_singlekalman,60.081,50.078,74.558,71.455,55.911,78.792,81.544,80.462,72.232,78.206,74.319,58.122,47.467,77.911,47.627,87.714,68.633,78.667,16,5.3333,23474,3288,10728,43,59,12,4,124,28.091,72.935,83.073,65.002,22232,4530,11970,34202,26762,117,75
lemurs_0.01_0.4_0.7_1_doublekalman,68.817,63.683,76.758,68.451,77.294,79.275,85.998,81.276,71.844,87.636,76.954,67.439,80.061,78.421,80.173,84.366,95.266,74.667,17.333,8,22578,4184,1122,30,56,13,6,123,61.856,86.001,81.081,91.557,21699,5063,2001,23700,26762,96,75
lemurs_0.01_0.4_0.7_1_singlekalman,60.908,51.415,74.595,71.855,57.351,78.796,81.669,80.557,72.47,79.189,74.705,59.158,50.688,77.957,50.833,88.061,70.286,78.667,16,5.3333,23567,3195,9963,39,59,12,4,106,31.276,74.209,83.592,66.719,22371,4391,11159,33530,26762,113,75
lemurs_0.01_0.4_0.8_0.1_doublekalman,68.407,63.499,76.095,68.215,77.319,78.755,85.502,81.27,71.399,87.08,76.99,67.043,79.901,78.394,80.005,84.116,95.341,74.667,17.333,8,22511,4251,1100,28,56,13,6,122,61.726,85.327,80.304,91.021,21491,5271,2120,23611,26762,96,75
lemurs_0.01_0.4_0.8_0.1_singlekalman,59.969,50.668,73.45,71.476,56.644,77.793,80.903,80.484,71.696,77.923,74.457,58.019,48.939,77.892,49.122,87.654,69.464,78.667,16,5.3333,23458,3304,10312,49,59,12,4,119,29.56,72.775,82.303,65.224,22026,4736,11744,33770,26762,115,75
lemurs_0.01_0.4_0.8_0.2_doublekalman,68.428,63.628,76.009,68.416,77.213,78.672,85.46,81.225,71.459,87.202,76.883,67.044,79.987,78.354,80.087,84.347,95.193,74.667,17.333,8,22573,4189,1140,27,56,13,6,123,61.729,85.278,80.42,90.76,21522,5240,2191,23713,26762,95,75
lemurs_0.01_0.4_0.8_0.2_singlekalman,60.405,51.351,73.549,71.676,57.342,77.937,80.983,80.452,71.842,78.694,74.427,58.57,50.755,77.838,50.93,87.964,70.372,78.667,16,5.3333,23541,3221,9911,47,59,12,4,120,31.26,73.392,82.565,66.053,22096,4666,11356,33452,26762,113,75
