metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
lemurs_0.01_0.4_0.7_0.1_doublekalman,69.133,63.233,78.008,69.956,74.564,81.037,84.664,80.989,73.224,89.188,76.352,68.097,79.262,78.048,79.419,86.619,92.325,78.667,14.667,6.6667,23181,3581,1927,42,59,11,5,136,60.247,86.74,84.059,89.597,22496,4266,2612,25108,26762,84,75
lemurs_0.01_0.4_0.7_0.1_singlekalman,67.612,61.034,77.397,71.474,69.866,80.586,84.251,80.721,73.685,88.12,75.404,66.446,73.69,77.904,73.881,88.091,86.109,78.667,16,5.3333,23575,3187,3803,51,59,12,4,152,54.225,84.245,85.214,83.297,22805,3957,4573,27378,26762,100,75
lemurs_0.01_0.4_0.7_0.2_doublekalman,69.27,63.584,77.889,69.945,75.076,80.857,84.679,81.015,73.162,89.274,76.382,68.189,79.882,78.053,79.99,86.578,92.929,78.667,14.667,6.6667,23170,3592,1763,29,59,11,5,135,60.881,86.728,83.764,89.909,22417,4345,2516,24933,26762,84,75
lemurs_0.01_0.4_0.7_0.2_singlekalman,67.643,61.686,76.695,71.55,70.637,79.764,84.188,80.726,73.38,88.018,75.451,66.41,75.189,77.866,75.383,88.338,87.21,80,14.667,5.3333,23641,3121,3467,52,60,11,4,158,55.636,84.214,84.758,83.676,22683,4079,4425,27108,26762,103,75
lemurs_0.01_0.4_0.7_0.3_doublekalman,69.429,64.206,77.512,69.777,76.195,80.455,84.78,81.045,72.894,89.524,76.337,68.34,81.029,78.125,81.13,86.354,94.296,78.667,14.667,6.6667,23110,3652,1398,27,59,11,5,126,62.139,86.593,82.946,90.575,22198,4564,2310,24508,26762,83,75
lemurs_0.01_0.4_0.7_0.3_singlekalman,68.102,62.528,76.696,71.541,71.774,79.717,84.595,80.745,73.379,88.714,75.455,66.939,76.646,77.907,76.859,88.267,88.555,80,14.667,5.3333,23622,3140,3053,57,60,11,4,149,57.145,84.784,84.646,84.922,22653,4109,4022,26675,26762,103,75
lemurs_0.01_0.4_0.7_0.4_doublekalman,69.425,64.274,77.444,69.888,76.154,80.361,84.762,81.055,72.912,89.288,76.416,68.23,80.876,78.127,81.01,86.391,94.137,78.667,14.667,6.6667,23120,3642,1440,36,59,11,5,125,61.98,86.785,83.215,90.676,22270,4492,2290,24560,26762,85,75
lemurs_0.01_0.4_0.7_0.4_singlekalman,68.446,63.169,76.719,71.624,72.518,79.733,84.372,80.746,73.425,89.079,75.448,67.208,77.67,77.919,77.894,88.33,89.433,80,14.667,5.3333,23639,3123,2793,60,60,11,4,146,58.166,85.352,84.825,85.885,22701,4061,3731,26432,26762,102,75
lemurs_0.01_0.4_0.7_0.5_doublekalman,70.152,64.607,78.589,69.462,77.208,81.367,85.767,81.145,73.245,90.182,76.777,69.239,81.399,78.25,81.485,85.726,95.286,78.667,13.333,8,22942,3820,1135,23,59,10,6,125,62.754,87.759,83.357,92.653,22308,4454,1769,24077,26762,85,75
lemurs_0.01_0.4_0.7_0.5_singlekalman,68.671,63.724,76.595,71.559,73.335,79.653,84.461,80.783,73.319,89.219,75.605,67.455,78.757,77.955,78.94,88.259,90.45,78.667,16,5.3333,23620,3142,2494,49,59,12,4,145,59.3,85.555,84.519,86.616,22619,4143,3495,26114,26762,103,75
lemurs_0.01_0.4_0.7_0.6_doublekalman,70.261,64.636,78.74,69.452,77.271,81.546,85.713,81.159,73.328,90.316,76.821,69.382,81.421,78.267,81.496,85.689,95.335,78.667,13.333,8,22932,3830,1122,20,59,10,6,120,62.799,88.039,83.585,92.995,22369,4393,1685,24054,26762,86,75
lemurs_0.01_0.4_0.7_0.6_singlekalman,68.096,63.301,75.827,71.561,72.785,78.878,84.037,80.789,72.949,88.099,75.629,66.628,77.928,77.958,78.096,88.207,89.716,78.667,16,5.3333,23606,3156,2706,45,59,12,4,138,58.485,84.765,84.052,85.49,22494,4268,3818,26312,26762,104,75
lemurs_0.01_0.4_0.7_0.7_doublekalman,70.208,64.556,78.721,69.374,77.258,81.526,85.728,81.167,73.278,90.216,76.861,69.341,81.433,78.265,81.515,85.655,95.389,78.667,13.333,8,22923,3839,1108,22,59,10,6,116,62.816,87.985,83.495,92.984,22345,4417,1686,24031,26762,87,75
