metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
lemurs_imagenet_1,69.776,64.353,78.063,69.605,76.639,81.063,84.78,81.084,73.075,89.918,76.433,68.727,81.078,78.23,81.182,86.003,94.693,78.667,14.667,6.6667,23016,3746,1290,28,59,11,5,121,62.355,87.268,83.264,91.677,22283,4479,2023,24306,26762,82,75
lemurs_imagenet_2,68.902,63.187,78.847,69.312,75.028,82.483,87.068,80.869,72.764,88.67,76.363,67.711,80.427,77.53,80.551,86.466,93.597,77.333,16,6.6667,23140,3622,1583,33,58,12,5,101,60.999,87.012,83.697,90.6,22399,4363,2324,24723,26762,85,75
lemurs_imagenet_3,71.157,65.466,82.081,72.774,75.091,85.294,89.517,81.511,75.696,91,76.541,69.652,81.433,78.557,81.548,89.231,92.073,80,16,4,23880,2882,2056,31,60,12,3,104,62.299,88.774,87.404,90.187,23391,3371,2545,25936,26762,88,75
lemurs_macaquecp_1,62.252,54.805,72.863,64.506,69.352,77.335,83.36,81.49,67.966,81.756,75.153,61.442,59.883,79.403,60.175,76.594,82.348,62.667,25.333,12,20498,6264,4394,78,47,19,9,173,44.107,74.108,71.519,76.892,19140,7622,5752,24892,26762,91,75
lemurs_macaquecp_2,63.18,56.158,73.325,65.327,70.201,77.696,83.007,81.365,68.586,82.241,75.511,62.101,65.406,78.714,65.548,79.303,85.219,68,21.333,10.667,21223,5539,3681,38,51,16,8,156,48.526,77.42,74.733,80.308,20000,6762,4904,24904,26762,86,75
lemurs_macaquecp_3,58.967,50.931,70.291,60.193,66.745,75.152,80.265,80.011,64.516,79.612,72.985,58.105,54.394,77.833,54.589,72.386,80.265,53.333,32,14.667,19372,7390,4763,52,40,24,11,186,38.348,72.04,68.504,75.96,18333,8429,5802,24135,26762,84,75
lemurs_macaquecpw_1,67.996,61.409,77.159,69.65,73.827,81.199,85.205,82.224,72.818,87.414,77.106,67.402,71.441,80.098,71.616,82.98,87.955,72,20,8,22207,4555,3041,47,54,15,6,113,54.926,82.892,80.547,85.377,21556,5206,3692,25248,26762,82,75
lemurs_macaquecpw_2,65.443,58.617,75.164,66.348,74.011,79.148,84.529,82.706,69.999,82.089,78.064,64.082,69.161,80.357,69.311,79.478,88.658,65.333,25.333,9.3333,21270,5492,2721,40,49,19,7,127,53.549,79.857,75.723,84.469,20265,6497,3726,23991,26762,82,75
lemurs_macaquecpw_3,57.971,48.633,71.067,57.744,65.1,75.381,80.673,79.228,63.587,79.052,71.985,56.906,54.637,76.007,54.846,71.773,80.917,54.667,30.667,14.667,19208,7554,4530,56,41,23,11,180,37.417,72.38,68.291,76.99,18276,8486,5462,23738,26762,88,75
lemurs_nopretrain_1,61.361,53.224,74.823,59.265,70.641,77.775,84.14,78.953,65.369,82.686,71.944,59.487,63.441,75.815,63.553,73.724,87.876,60,29.333,10.667,19730,7032,2722,30,45,22,8,181,45.611,77.962,71.684,85.445,19184,7578,3268,22452,26762,81,75
lemurs_nopretrain_2,60.226,51.253,74.111,58.71,68.34,77.718,82.374,79.125,65.05,80.991,71.567,57.963,58.056,76.159,58.303,72.106,83.933,57.333,30.667,12,19297,7465,3694,66,43,23,9,178,40.865,74.512,69.262,80.623,18536,8226,4455,22991,26762,87,75
lemurs_nopretrain_3,58.658,48.936,74.523,56.214,66.848,78.475,83.307,78.339,63.492,80.704,70.221,56.671,56.311,74.946,56.449,70.271,83.564,54.667,29.333,16,18806,7956,3699,37,41,22,12,185,38.705,73.579,67.727,80.538,18125,8637,4380,22505,26762,83,75
