metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_0.01_0.4_0.7_0.1_doublekalman,70.835,68.431,73.579,74.427,78.834,76.907,84.195,83.388,73.993,88.606,80.374,71.216,84.448,81.005,84.585,89.497,94.797,80.952,16.667,2.381,11095,1302,609,17,34,7,1,27,67.448,87.216,84.779,89.798,10510,1887,1194,11704,12397,73,42
macaques_0.01_0.4_0.7_0.1_singlekalman,47.826,33.114,69.288,78.182,34.61,76.933,75.34,82.828,73.57,59.486,79.057,47.028,-36.88,80.646,-36.638,94.628,41.89,90.476,9.5238,0,11731,666,16273,30,38,4,0,48,-55.194,53.424,87.053,38.537,10792,1605,17212,28004,12397,112,42
macaques_0.01_0.4_0.7_0.2_doublekalman,70.62,68.34,73.228,74.445,78.651,76.568,84.07,83.322,73.825,88.44,80.286,71.005,84.367,80.956,84.52,89.586,94.648,80.952,16.667,2.381,11106,1291,628,19,34,7,1,31,67.306,86.926,84.601,89.381,10488,1909,1246,11734,12397,72,42
macaques_0.01_0.4_0.7_0.2_singlekalman,48.087,33.417,69.403,78.431,34.889,76.935,75.36,82.891,73.75,59.683,79.203,47.271,-35.751,80.523,-35.565,94.62,42.09,88.095,11.905,0,11730,667,16139,23,37,5,0,45,-54.18,53.897,87.529,38.936,10851,1546,17018,27869,12397,113,42
macaques_0.01_0.4_0.7_0.3_doublekalman,70.465,68.331,72.927,74.478,78.626,76.239,84.088,83.346,73.689,88.17,80.316,70.814,84.23,80.985,84.416,89.57,94.558,80.952,16.667,2.381,11104,1293,639,23,34,7,1,31,67.198,86.131,83.859,88.529,10396,2001,1347,11743,12397,73,42
macaques_0.01_0.4_0.7_0.3_singlekalman,48.524,33.654,70.166,78.453,35.145,77.511,76.394,82.91,74.166,60.269,79.227,47.749,-34.363,80.548,-34.178,94.523,42.345,88.095,11.905,0,11718,679,15955,23,37,5,0,46,-52.749,54.769,88.513,39.652,10973,1424,16700,27673,12397,111,42
macaques_0.01_0.4_0.7_0.4_doublekalman,70.674,68.31,73.376,74.473,78.594,76.614,84.411,83.338,73.914,88.477,80.305,71.051,84.238,80.978,84.399,89.578,94.535,80.952,16.667,2.381,11105,1292,642,20,34,7,1,28,67.199,86.481,84.214,88.874,10440,1957,1307,11747,12397,73,42
macaques_0.01_0.4_0.7_0.4_singlekalman,48.591,33.886,69.891,78.471,35.392,77.484,76.26,82.91,74.026,60.251,79.333,47.799,-32.701,80.526,-32.516,94.604,42.667,88.095,11.905,0,11728,669,15759,23,37,5,0,44,-51.124,54.819,88.183,39.772,10932,1465,16555,27487,12397,111,42
macaques_0.01_0.4_0.7_0.5_doublekalman,71.682,68.587,75.163,74.636,78.807,78.456,84.563,83.39,74.891,89.569,80.431,72.042,84.698,81.026,84.835,89.772,94.787,80.952,16.667,2.381,11129,1268,612,17,34,7,1,26,67.664,88.367,86.029,90.836,10665,1732,1076,11741,12397,70,42
macaques_0.01_0.4_0.7_0.5_singlekalman,49.216,34.387,70.65,78.617,35.912,78.317,76.734,82.962,74.498,60.882,79.469,48.382,-29.685,80.593,-29.531,94.692,43.255,88.095,11.905,0,11739,658,15400,19,37,5,0,41,-48.061,55.939,89.199,40.746,11058,1339,16081,27139,12397,109,42
macaques_0.01_0.4_0.7_0.6_doublekalman,70.725,68.488,73.291,74.618,78.68,77.006,83.343,83.363,73.942,88.336,80.377,71.002,84.448,81.012,84.593,89.715,94.599,80.952,16.667,2.381,11122,1275,635,18,34,7,1,27,67.413,86.743,84.504,89.104,10476,1921,1281,11757,12397,70,42
macaques_0.01_0.4_0.7_0.6_singlekalman,49.208,34.31,70.772,78.577,35.834,78.471,76.761,82.936,74.546,60.989,79.427,48.442,-29.991,80.548,-29.846,94.716,43.195,88.095,11.905,0,11742,655,15442,18,37,5,0,39,-48.416,55.789,89.062,40.616,11041,1356,16143,27184,12397,109,42
macaques_0.01_0.4_0.7_0.7_doublekalman,70.788,68.458,73.452,74.427,78.874,77.165,83.458,83.39,73.929,88.401,80.427,71.098,84.496,81.04,84.633,89.497,94.845,80.952,16.667,2.381,11095,1302,603,17,34,7,1,25,67.527,86.956,84.504,89.554,10476,1921,1222,11698,12397,70,42
