metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_0.02_0.7_0.5_singlekalman,53.252,41.038,69.392,77.164,43.657,76.872,76.175,82.932,73.133,66.313,79.12,52.467,10.503,80.67,10.728,93.74,53.035,90.476,7.1429,2.381,11621,776,10291,28,38,3,1,43,-7.6178,62.159,86.013,48.663,10663,1734,11249,21912,12397,81,42
macaques_0.02_0.7_0.6_singlekalman,54.448,42.774,69.606,77.41,45.542,77.045,76.352,83.003,73.364,67.6,79.345,53.637,16.948,80.665,17.149,93.563,55.045,90.476,7.1429,2.381,11599,798,9473,25,38,3,1,44,-1.1423,64.041,86.448,50.859,10717,1680,10355,21072,12397,77,42
macaques_0.02_0.7_0.7_singlekalman,56.519,46.101,69.61,77.404,49.315,77.048,76.356,83.005,73.363,70.27,79.359,55.765,29.959,80.669,30.152,93.555,59.605,90.476,7.1429,2.381,11598,799,7860,24,38,3,1,44,11.874,67.28,86.44,55.072,10716,1681,8742,19458,12397,70,42
macaques_0.02_0.7_0.8_singlekalman,57.691,47.802,69.957,77.18,51.341,77.431,76.663,82.948,73.439,72.049,79.192,57.057,36.13,80.661,36.283,93.305,62.068,90.476,7.1429,2.381,11567,830,7069,19,38,3,1,43,18.085,69.21,86.626,57.625,10739,1658,7897,18636,12397,67,42
macaques_0.02_0.8_0.5_singlekalman,57.182,47.661,68.937,76.437,51.508,76.339,76.148,82.928,72.548,71.41,79.138,56.512,36.969,80.692,37.146,92.772,62.516,90.476,7.1429,2.381,11501,896,6896,22,38,3,1,42,19.056,68.604,85.206,57.417,10563,1834,7834,18397,12397,65,42
macaques_0.02_0.8_0.6_singlekalman,57.634,48.183,69.267,76.726,51.999,76.584,76.394,83.03,72.861,71.607,79.425,56.874,37.493,80.696,37.67,92.611,62.765,90.476,7.1429,2.381,11481,916,6811,22,38,3,1,42,19.615,69.302,85.779,58.135,10634,1763,7658,18292,12397,65,42
macaques_0.02_0.8_0.7_singlekalman,58.378,49.436,69.274,76.71,53.462,76.57,76.401,83.031,72.857,72.569,79.429,57.641,41.47,80.706,41.655,92.571,64.515,90.476,7.1429,2.381,11476,921,6312,23,38,3,1,44,23.609,70.412,85.722,59.743,10627,1770,7161,17788,12397,63,42
macaques_0.02_0.8_0.8_singlekalman,59.108,50.444,69.602,76.558,54.703,76.93,76.707,82.992,72.958,73.734,79.328,58.492,44.801,80.698,44.962,92.458,66.063,90.476,7.1429,2.381,11462,935,5888,20,38,3,1,44,26.955,71.631,85.94,61.406,10654,1743,6696,17350,12397,61,42
macaques_0.04_0.7_0.5_singlekalman,52.781,41.312,67.729,77.506,43.872,75.395,74.492,83.05,72.409,65.343,79.467,51.926,10.801,80.611,11.043,93.853,53.125,90.476,7.1429,2.381,11635,762,10266,30,38,3,1,44,-7.3961,61.298,84.795,47.998,10512,1885,11389,21901,12397,81,42
macaques_0.04_0.7_0.6_singlekalman,53.674,42.855,67.536,77.528,45.598,75.168,74.397,83.033,72.314,66.425,79.468,52.787,17.198,80.589,17.424,93.724,55.124,90.476,7.1429,2.381,11619,778,9459,28,38,3,1,45,-0.99496,62.506,84.391,49.635,10462,1935,10616,21078,12397,78,42
macaques_0.04_0.7_0.7_singlekalman,55.391,45.641,67.556,77.484,48.765,75.197,74.398,83.021,72.303,68.653,79.443,54.54,28.192,80.587,28.41,93.652,58.94,90.476,7.1429,2.381,11610,787,8088,27,38,3,1,45,10.011,65.188,84.383,53.107,10461,1936,9237,19698,12397,73,42
macaques_0.04_0.7_0.8_singlekalman,56.516,47.595,67.461,77.317,51.06,75.071,74.484,83.014,72.173,70.082,79.334,55.6,35.089,80.617,35.267,93.345,61.645,90.476,7.1429,2.381,11572,825,7200,22,38,3,1,43,16.996,67.009,84.238,55.631,10443,1954,8329,18772,12397,69,42
macaques_0.04_0.8_0.5_singlekalman,56.51,47.888,67.022,76.87,51.603,74.558,74.466,83.073,71.732,69.983,79.582,55.693,36.589,80.627,36.791,92.877,62.349,90.476,7.1429,2.381,11514,883,6953,25,38,3,1,42,18.597,67.133,83.569,56.1,10360,2037,8107,18467,12397,66,42
macaques_0.04_0.8_0.6_singlekalman,56.77,48.287,67.088,76.828,52.077,74.63,74.518,83.053,71.747,70.355,79.54,55.96,37.767,80.621,37.969,92.748,62.868,90.476,7.1429,2.381,11498,899,6791,25,38,3,1,43,19.794,67.536,83.585,56.657,10362,2035,7927,18289,12397,65,42
macaques_0.04_0.8_0.7_singlekalman,57.148,48.929,67.095,76.813,52.829,74.616,74.524,83.054,71.743,70.84,79.545,56.35,39.792,80.633,40.002,92.7,63.756,90.476,7.1429,2.381,11492,905,6533,26,38,3,1,45,21.839,68.076,83.528,57.448,10355,2042,7670,18025,12397,65,42
macaques_0.04_0.8_0.8_singlekalman,57.842,50.238,66.961,76.697,54.407,74.45,74.594,83.055,71.616,71.685,79.48,56.975,43.857,80.649,44.043,92.506,65.621,90.476,7.1429,2.381,11468,929,6008,23,38,3,1,44,25.957,69.213,83.391,59.155,10338,2059,7138,17476,12397,62,42
