metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_0.01_0.4_0.7_0.1_doublekalman,70.192,66.782,74.135,74.8,76.201,80.421,79.696,83.27,74.443,87.718,80.178,70.33,81.294,80.941,81.479,89.82,91.503,80.952,9.5238,9.5238,11135,1262,1034,23,34,4,4,56,64.175,86.852,86.053,87.665,10668,1729,1501,12169,12397,46,42
macaques_0.01_0.4_0.7_0.1_singlekalman,70.073,65.792,75.002,78.163,71.666,80.781,80.764,83.034,76.542,88.079,79.736,70.231,78.817,80.673,79.043,94.055,86.236,90.476,9.5238,0,11660,737,1861,28,38,4,0,103,60.64,87.206,91.159,83.581,11301,1096,2220,13521,12397,59,42
macaques_0.01_0.4_0.7_0.2_doublekalman,71.078,66.9,75.881,74.667,76.418,81.226,81.092,83.22,75.249,88.866,80.211,71.28,81.899,80.821,82.028,89.869,91.976,80.952,9.5238,9.5238,11141,1256,972,16,34,4,4,49,64.663,87.556,86.553,88.583,10730,1667,1383,12113,12397,47,42
macaques_0.01_0.4_0.7_0.2_singlekalman,70.573,66.265,75.561,78.202,72.112,80.394,81.571,82.931,76.843,88.793,79.615,70.693,80.173,80.503,80.423,94.434,87.08,90.476,9.5238,0,11707,690,1737,31,38,4,0,86,61.761,87.458,91.151,84.052,11300,1097,2144,13444,12397,61,42
macaques_0.01_0.4_0.7_0.3_doublekalman,71.086,66.806,75.978,74.03,76.999,80.818,82.701,83.202,74.978,89.205,79.968,71.335,81.617,80.873,81.689,88.917,92.483,76.19,14.286,9.5238,11023,1374,896,9,32,6,4,55,64.609,87.465,85.779,89.219,10634,1763,1285,11919,12397,50,42
macaques_0.01_0.4_0.7_0.3_singlekalman,71.296,67.094,76.141,78.199,73.065,80.253,83.092,82.897,77.138,90.038,79.547,71.623,81.6,80.491,81.826,94.426,88.227,90.476,9.5238,0,11706,691,1562,28,38,4,0,80,63.179,88.167,91.264,85.273,11314,1083,1954,13268,12397,66,42
macaques_0.01_0.4_0.7_0.4_doublekalman,71.464,67.125,76.427,73.958,77.477,80.709,83.321,83.171,75.163,89.78,79.91,71.743,82.238,80.819,82.31,88.884,93.113,76.19,16.667,7.1429,11019,1378,815,9,32,7,3,58,65.189,89.068,87.045,91.186,10791,1606,1043,11834,12397,55,42
macaques_0.01_0.4_0.7_0.4_singlekalman,72.015,68.014,76.629,78.227,74.119,80.689,83.494,82.902,77.4,91.075,79.565,72.464,83.077,80.477,83.278,94.41,89.453,90.476,9.5238,0,11704,693,1380,25,38,4,0,79,64.645,89.274,91.748,86.931,11374,1023,1710,13084,12397,67,42
macaques_0.01_0.4_0.7_0.5_doublekalman,72.235,67.835,77.268,74.125,78.194,81.168,84.124,83.148,75.66,90.87,79.9,72.605,83.456,80.792,83.52,89.159,94.052,76.19,16.667,7.1429,11053,1344,699,8,32,7,3,50,66.33,90.14,87.795,92.614,10884,1513,868,11752,12397,56,42
macaques_0.01_0.4_0.7_0.5_singlekalman,72.357,68.694,76.606,78.254,74.877,80.666,83.499,82.892,77.4,91.476,79.584,72.8,84.303,80.455,84.488,94.499,90.421,90.476,9.5238,0,11715,682,1241,23,38,4,0,76,65.833,89.717,91.74,87.782,11373,1024,1583,12956,12397,67,42
