metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_imagenet_10,62.83,60.037,66.125,67.823,71.062,70.476,78.231,79.705,66.942,84.127,75.097,63.177,76.446,76.269,76.68,86.061,90.171,73.81,19.048,7.1429,10669,1728,1163,29,31,8,3,56,56.023,81.927,80.06,83.883,9925,2472,1907,11832,12397,69,42
macaques_imagenet_100,64.01,61.455,67.405,67.624,74.334,71.477,80.977,80.755,67.351,83.591,76.385,63.851,77.204,77.713,77.486,84.23,92.587,73.81,19.048,7.1429,10442,1955,836,35,31,8,3,54,58.432,82.593,78.866,86.691,9777,2620,1501,11278,12397,68,42
macaques_imagenet_100_1e-5,67.887,66.572,69.841,71.765,76.928,73.435,82.04,81.167,70.69,87.921,77.301,67.964,86.005,78.062,86.158,89.723,96.178,80.952,14.286,4.7619,11123,1274,442,19,34,6,2,34,66.321,85.928,83.044,89.019,10295,2102,1270,11565,12397,62,42
macaques_imagenet_100_5e-5,67.171,64.6,70.06,70.864,74.849,74.083,79.778,80.728,70.451,88.23,76.853,67.808,83.754,77.576,83.867,89.272,94.292,80.952,14.286,4.7619,11067,1330,670,14,34,6,2,31,63.736,87.271,84.948,89.725,10531,1866,1206,11737,12397,56,42
macaques_imagenet_10_1e-5,55.476,51.331,60.276,56.349,68.721,64.722,73.679,76.872,58.253,78.701,70.928,55.821,67.984,72.496,68.121,75.058,91.54,59.524,23.81,16.667,9305,3092,860,17,25,10,7,48,47.34,77.396,70.428,85.893,8731,3666,1434,10165,12397,47,42
macaques_imagenet_10_5e-5,63.671,60.463,67.515,67.559,71.565,71.205,78.202,79.379,67.499,85.516,74.42,63.64,76.188,76.155,76.365,85.384,90.447,73.81,16.667,9.5238,10585,1812,1118,22,31,7,4,71,55.828,82.124,79.826,84.56,9896,2501,1807,11703,12397,60,42
macaques_imagenet_110,67.375,64.794,70.555,70.017,76.101,73.997,81.606,80.815,70.208,88.177,76.83,67.746,84.287,77.522,84.488,88.247,95.914,78.571,16.667,4.7619,10940,1457,466,25,33,7,2,42,64.45,86.804,83.335,90.575,10331,2066,1075,11406,12397,59,42
macaques_imagenet_110_1e-5,68.038,65.781,70.876,70.233,77.249,74.501,81.48,80.851,70.479,88.999,76.877,68.419,85.101,77.711,85.254,88.086,96.886,78.571,14.286,7.1429,10920,1477,351,19,33,6,3,35,65.468,87.46,83.488,91.829,10350,2047,921,11271,12397,57,42
macaques_imagenet_110_5e-5,67.368,64.879,70.259,70.013,76.016,73.591,80.973,80.629,70.115,88.135,76.844,67.726,84.222,77.477,84.343,88.223,95.787,76.19,19.048,4.7619,10937,1460,481,15,32,8,2,32,64.352,87.684,84.222,91.443,10441,1956,977,11418,12397,58,42
macaques_imagenet_120,65.787,63.698,68.466,68.601,76.638,71.704,81.733,81.061,68.455,85.352,77.158,65.856,81.939,77.936,82.157,85.835,95.891,76.19,19.048,4.7619,10641,1756,456,27,32,8,2,36,63,84.532,80.1,89.484,9930,2467,1167,11097,12397,60,42
macaques_imagenet_120_1e-5,66.94,64.847,69.642,69.882,76.054,73.833,80.035,80.527,69.671,87.738,76.536,67.151,84.117,77.314,84.27,88.078,95.856,78.571,14.286,7.1429,10919,1478,472,19,33,6,3,42,64.135,85.858,82.375,89.65,10212,2185,1179,11391,12397,58,42
macaques_imagenet_120_5e-5,67.902,65.819,70.389,70.738,76.979,73.689,81.35,81.071,70.54,87.989,77.474,68.169,84.98,78.067,85.101,88.497,96.304,78.571,16.667,4.7619,10971,1426,421,15,33,7,2,36,65.57,87.099,83.569,90.941,10360,2037,1032,11392,12397,58,42
macaques_imagenet_130,65.564,63.494,68.185,68.432,76.229,71.44,81.257,80.852,68.241,85.302,76.918,65.612,81.883,77.729,82.109,85.94,95.732,71.429,23.81,4.7619,10654,1743,475,28,30,10,2,42,62.743,85.012,80.665,89.855,10000,2397,1129,11129,12397,60,42
macaques_imagenet_130_1e-5,67.667,65.108,70.824,70.184,76.604,74.618,81.169,80.951,70.433,88.074,77.073,67.881,83.803,77.867,83.988,87.804,95.836,78.571,14.286,7.1429,10885,1512,473,23,33,6,3,47,64.369,86.281,82.665,90.227,10248,2149,1110,11358,12397,60,42
macaques_imagenet_130_5e-5,67.378,64.889,70.234,69.883,76.343,73.384,80.828,80.783,70.047,87.902,77.129,67.798,84.246,77.762,84.424,87.981,96.114,76.19,19.048,4.7619,10907,1490,441,22,32,8,2,30,64.681,87.075,83.391,91.1,10338,2059,1010,11348,12397,59,42
macaques_imagenet_140,65.218,63.042,68.027,67.381,76.614,71.394,81.143,80.601,67.622,85.021,76.747,65.251,82.117,77.322,82.318,85.134,96.799,71.429,26.19,2.381,10554,1843,349,25,30,11,1,34,62.81,85.15,80.019,90.984,9920,2477,983,10903,12397,58,42
macaques_imagenet_140_1e-5,66.948,65.575,68.859,70.242,76.992,72.34,81.322,80.82,69.479,87.114,76.917,67.006,84.48,77.755,84.633,87.933,96.384,76.19,19.048,4.7619,10901,1496,409,19,32,8,2,38,64.92,86.008,82.238,90.141,10195,2202,1115,11310,12397,58,42
macaques_imagenet_140_5e-5,67.14,65.267,69.433,69.894,76.53,72.716,80.793,80.532,69.636,87.656,76.735,67.263,85.037,77.34,85.198,88.263,96.644,76.19,19.048,4.7619,10942,1455,380,20,32,8,2,28,65.036,87.508,83.714,91.662,10378,2019,944,11322,12397,58,42
macaques_imagenet_150,66.237,64.355,68.73,68.922,77.239,71.755,82.098,81.22,68.741,85.232,77.547,66.094,82.681,78.153,82.939,86.085,96.474,71.429,23.81,4.7619,10672,1725,390,32,30,10,2,39,63.874,84.957,80.382,90.083,9965,2432,1097,11062,12397,62,42
macaques_imagenet_150_1e-5,65.989,64.567,67.961,69.562,75.832,72.036,79.612,80.346,68.684,86.451,76.359,66.013,83.762,77.149,83.907,87.82,95.735,78.571,14.286,7.1429,10887,1510,485,18,33,6,3,42,63.695,84.211,80.729,88.006,10008,2389,1364,11372,12397,58,42
macaques_imagenet_150_5e-5,65.831,64.631,67.471,69.927,76.156,70.519,81.226,80.952,68.648,85.38,77.167,65.886,83.399,77.883,83.625,87.723,95.537,76.19,19.048,4.7619,10875,1522,508,28,32,8,2,37,63.997,84.029,80.592,87.771,9991,2406,1392,11383,12397,63,42
macaques_imagenet_160,65.401,63.621,67.699,67.772,77.002,70.897,80.838,80.658,67.675,85.084,76.793,65.338,82.705,77.442,82.851,85.432,97.067,76.19,19.048,4.7619,10591,1806,320,18,32,8,2,41,63.433,84.477,79.414,90.23,9845,2552,1066,10911,12397,57,42
macaques_imagenet_160_1e-5,65.758,64.931,67.096,69.984,76.245,71.304,79.218,80.662,68.461,85.601,76.745,65.694,83.915,77.541,84.109,87.949,95.817,78.571,14.286,7.1429,10903,1494,476,24,33,6,3,36,64.163,83.092,79.681,86.809,9878,2519,1501,11379,12397,60,42
