metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_imagenet_1,68.627,67.114,70.701,74.414,74.121,74.089,80.633,80.513,72.474,89.849,76.22,68.483,85.827,77.546,86.021,93.208,92.841,88.095,9.5238,2.381,11555,842,891,24,37,4,1,52,64.898,87.179,87.352,87.008,10829,1568,1617,12446,12397,66,42
macaques_imagenet_2,69.331,67.918,71.14,74.475,75.001,74.789,80.191,80.567,72.77,90.969,76.41,69.51,87.263,77.572,87.505,93.402,94.062,90.476,7.1429,2.381,11579,818,731,30,38,3,1,56,66.315,88.186,87.876,88.497,10894,1503,1416,12310,12397,66,42
macaques_imagenet_3,68.861,67.561,70.62,74.518,74.476,74.509,80.217,80.447,72.507,90.653,76.316,69.183,86.836,77.498,87.053,93.555,93.502,90.476,7.1429,2.381,11598,799,806,27,38,3,1,58,65.784,88.238,88.263,88.213,10942,1455,1462,12404,12397,62,42
macaques_macaquecp_1,73.912,71.683,76.588,77.481,79.35,80.171,84.28,83.142,77.012,92.678,80.121,74.254,89.683,80.629,89.804,93.724,95.985,90.476,7.1429,2.381,11619,778,486,15,38,3,1,67,71.528,91.593,90.514,92.697,11221,1176,884,12105,12397,66,42
macaques_macaquecp_2,73.367,71.287,75.835,77.458,79.51,79.394,84.571,83.651,76.628,91.251,80.707,73.646,88.215,81.35,88.352,92.885,95.347,88.095,7.1429,4.7619,11515,882,562,17,37,3,2,67,70.892,89.949,88.788,91.14,11007,1390,1070,12077,12397,66,42
macaques_macaquecp_3,73.59,71.698,75.905,77.996,78.483,79.556,83.709,82.68,76.927,93.304,79.241,73.935,89.223,80.269,89.344,94.362,94.951,90.476,9.5238,0,11698,699,622,15,38,4,0,73,70.605,91.362,91.078,91.648,11291,1106,1029,12320,12397,64,42
macaques_macaquecpw_1,74.77,72.019,77.954,78.728,79.816,81.903,85.046,84.271,78.322,92.287,81.463,75.18,88.667,81.954,88.763,93.7,94.995,90.476,4.7619,4.7619,11616,781,612,12,38,2,2,61,71.757,91.33,90.707,91.961,11245,1152,983,12228,12397,58,42
macaques_macaquecpw_2,74.628,72.511,77.181,79.146,80.213,80.789,85.489,84.433,78.14,91.82,81.36,74.705,88.771,82.213,88.86,93.765,95.029,92.857,2.381,4.7619,11624,773,608,11,39,1,2,63,72.094,90.121,89.522,90.729,11098,1299,1134,12232,12397,64,42
macaques_macaquecpw_3,74.378,72.074,77.171,79.115,79.661,81.26,84.944,84.407,78.11,91.367,81.551,74.511,88.481,82.132,88.634,93.974,94.623,90.476,7.1429,2.381,11650,747,662,19,38,3,1,57,71.69,89.797,89.489,90.107,11094,1303,1218,12312,12397,70,42
macaques_nopretrain_1,64.707,61.184,68.76,70.62,69.443,73.137,77.38,79.429,69.664,88.323,74.421,65.731,77.938,76.278,78.204,89.949,88.451,80.952,14.286,4.7619,11151,1246,1456,33,34,6,2,84,56.6,84.474,85.19,83.771,10561,1836,2046,12607,12397,59,42
macaques_nopretrain_2,65.026,61.384,69.172,72.448,68.466,73.791,76.979,79.993,70.775,87.024,75.429,65.641,76.551,76.825,76.841,91.329,86.309,85.714,11.905,2.381,11322,1075,1796,36,36,5,1,76,55.385,83.206,85.626,80.919,10615,1782,2503,13118,12397,66,42
macaques_nopretrain_3,64.511,62.47,67.141,71.815,70.502,71.496,77.876,80.096,69.372,85.884,75.411,64.766,77.874,77.252,78.245,90.054,88.407,83.333,11.905,4.7619,11164,1233,1464,46,35,5,2,90,57.388,82.406,83.173,81.652,10311,2086,2317,12628,12397,73,42
