metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
buffer_0,63.995,57.582,71.418,73.24,65.509,80.489,77.129,82.982,72.296,79.894,79.701,63.677,65.153,80.58,65.225,88.513,79.17,80.952,11.905,7.1429,10973,1424,2887,9,34,5,3,35,47.963,82.142,86.989,77.807,10784,1613,3076,13860,12397,45,42
buffer_0.2,63.913,58.009,70.727,73.227,66.064,80.046,76.217,82.965,71.937,79.764,79.666,63.545,66.064,80.594,66.137,88.489,79.834,80.952,11.905,7.1429,10970,1427,2771,9,34,5,3,37,48.892,80.794,85.174,76.843,10559,1838,3182,13741,12397,45,42
buffer_0.2_doublekalman,70.678,68.375,73.387,72.653,80.562,78.26,81.439,83.176,72.996,88.093,80.277,70.718,85.142,80.788,85.246,87.715,97.263,80.952,11.905,7.1429,10874,1523,306,13,34,5,3,73,68.29,87.662,83.359,92.433,10334,2063,846,11180,12397,45,42
buffer_0.4,63.531,58.035,69.858,73.255,66.09,79.285,75.627,82.988,71.507,79.232,79.697,63.146,66.048,80.587,66.137,88.489,79.834,80.952,11.905,7.1429,10970,1427,2771,11,34,5,3,37,48.87,80.327,84.682,76.399,10498,1899,3243,13741,12397,45,42
buffer_0.4_doublekalman,70.674,68.37,73.384,72.653,80.555,78.26,81.432,83.176,72.995,88.088,80.277,70.714,85.134,80.788,85.238,87.715,97.254,80.952,11.905,7.1429,10874,1523,307,13,34,5,3,73,68.282,87.658,83.359,92.425,10334,2063,847,11181,12397,45,42
buffer_0.6,63.115,56.961,70.228,73.087,64.848,79.419,76.276,82.983,71.616,78.824,79.737,62.852,63.814,80.593,63.903,88.304,78.35,78.571,14.286,7.1429,10947,1450,3025,11,33,6,3,37,46.677,81.057,86.206,76.489,10687,1710,3285,13972,12397,46,42
buffer_0.6_doublekalman,70.645,68.273,73.424,72.654,80.426,78.263,81.507,83.176,73.015,88.054,80.278,70.688,84.956,80.795,85.061,87.699,97.08,80.952,11.905,7.1429,10872,1525,327,13,34,5,3,74,68.114,87.667,83.431,92.356,10343,2054,856,11199,12397,46,42
buffer_0.8,63.119,56.961,70.238,73.087,64.848,79.427,76.284,82.982,71.621,78.831,79.736,62.857,63.83,80.597,63.919,88.312,78.357,78.571,14.286,7.1429,10948,1449,3024,11,33,6,3,36,46.695,81.065,86.214,76.496,10688,1709,3284,13972,12397,46,42
buffer_0.8_doublekalman,70.643,68.269,73.423,72.655,80.42,78.263,81.504,83.176,73.015,88.05,80.278,70.685,84.964,80.793,85.069,87.707,97.08,80.952,11.905,7.1429,10873,1524,327,13,34,5,3,73,68.118,87.672,83.44,92.357,10344,2053,856,11200,12397,46,42
buffer_0_doublekalman,70.678,68.375,73.387,72.653,80.562,78.26,81.439,83.176,72.996,88.093,80.277,70.718,85.142,80.788,85.246,87.715,97.263,80.952,11.905,7.1429,10874,1523,306,13,34,5,3,73,68.29,87.662,83.359,92.433,10334,2063,846,11180,12397,45,42
buffer_1,63.187,56.984,70.341,73.069,64.943,79.764,76.096,83.076,71.667,78.81,79.893,62.964,63.814,80.706,63.903,88.207,78.398,78.571,16.667,4.7619,10935,1462,3013,11,33,7,2,27,46.795,81.017,86.085,76.513,10672,1725,3276,13948,12397,45,42
buffer_1_doublekalman,70.788,68.142,73.849,72.383,80.63,78.428,82.142,83.23,73.091,88.163,80.363,70.851,84.762,80.861,84.867,87.32,97.268,78.571,16.667,4.7619,10825,1572,304,13,33,7,2,59,68.05,88.081,83.577,93.099,10361,2036,768,11129,12397,46,42
conf_0,69.65,66.718,72.992,72.886,78.049,78.706,80.326,83.182,72.917,87.099,80.165,69.823,82.52,80.931,82.689,88.037,94.273,78.571,16.667,4.7619,10914,1483,663,21,33,7,2,32,65.732,87.061,84.182,90.144,10436,1961,1141,11577,12397,45,42
conf_0.01,69.882,67.293,72.873,72.624,79.17,78.467,80.36,83.221,72.726,87.267,80.206,69.993,83.214,80.976,83.375,87.553,95.445,76.19,19.048,4.7619,10854,1543,518,20,32,8,2,32,66.557,86.768,83.181,90.679,10312,2085,1060,11372,12397,45,42
conf_0.02,71.228,68.352,74.528,72.712,80.483,79.611,81.336,83.192,73.594,88.956,80.248,71.386,85.013,80.857,85.069,87.707,97.08,78.571,16.667,4.7619,10873,1524,327,7,33,7,2,46,68.223,88.316,84.053,93.036,10420,1977,780,11200,12397,44,42
conf_0.04,70.678,68.375,73.387,72.653,80.562,78.26,81.439,83.176,72.996,88.093,80.277,70.718,85.142,80.788,85.246,87.715,97.263,80.952,11.905,7.1429,10874,1523,306,13,34,5,3,73,68.29,87.662,83.359,92.433,10334,2063,846,11180,12397,45,42
conf_0.1,69.74,67.719,72.12,71.329,81.417,76.316,82.516,83.272,71.702,86.82,80.425,69.825,84.262,80.935,84.335,85.972,98.131,73.81,21.429,4.7619,10658,1739,203,9,31,9,2,101,67.871,86.774,81.399,92.91,10091,2306,770,10861,12397,46,42
conf_0.2,69.462,66.841,72.485,70.175,81.763,76.629,82.81,83.371,71.298,86.115,80.619,69.425,83.254,80.997,83.294,84.561,98.524,71.429,21.429,7.1429,10483,1914,157,5,30,9,3,121,67.185,87.277,81.092,94.483,10053,2344,587,10640,12397,44,42
conf_0.4,68.44,65.325,71.997,68.325,82.155,76.167,83.171,83.497,70.115,84.506,80.82,68.297,81.358,81.123,81.391,82.278,98.933,71.429,21.429,7.1429,10200,2197,110,4,30,9,3,175,65.826,86.784,79.479,95.567,9853,2544,457,10310,12397,43,42
proportion_0,68.823,67.796,70.189,72.674,79.772,78.342,76.522,83.16,71.396,85.953,80.051,68.806,83.762,80.916,83.94,87.521,96.069,78.571,16.667,4.7619,10850,1547,444,22,33,7,2,79,67.06,84.868,81.092,89.012,10053,2344,1241,11294,12397,38,42
proportion_0.2,70.594,68.113,73.473,72.46,80.455,80.011,79.673,83.172,72.944,88.095,80.197,70.65,84.545,80.821,84.641,87.352,96.991,78.571,16.667,4.7619,10829,1568,336,12,33,7,2,63,67.792,87.573,83.222,92.405,10317,2080,848,11165,12397,41,42
proportion_0.4,70.271,67.841,73.116,72.247,80.348,78.055,81,83.194,72.657,87.543,80.272,70.273,84.295,80.825,84.432,87.174,96.95,78.571,16.667,4.7619,10807,1590,340,17,33,7,2,58,67.579,87.249,82.851,92.141,10271,2126,876,11147,12397,45,42
proportion_0.6,70.181,67.863,72.894,71.823,80.929,76.829,82.754,83.217,72.334,87.367,80.313,70.167,84.448,80.844,84.601,86.674,97.664,73.81,19.048,7.1429,10745,1652,257,19,31,8,3,72,67.845,86.67,81.794,92.165,10140,2257,862,11002,12397,52,42
proportion_0.8,69.833,67.798,72.243,71.644,81.097,76.135,82.916,83.244,71.921,86.88,80.348,69.806,84.343,80.886,84.456,86.4,97.799,73.81,19.048,7.1429,10711,1686,241,14,31,8,3,69,67.828,85.862,80.858,91.527,10024,2373,928,10952,12397,54,42
proportion_1,69.836,67.805,72.241,71.65,81.104,76.13,82.915,83.249,71.923,86.88,80.355,69.812,84.375,80.889,84.472,86.408,97.809,73.81,19.048,7.1429,10712,1685,240,12,31,8,3,68,67.862,85.862,80.858,91.527,10024,2373,928,10952,12397,54,42
