,HOTA,DetA,AssA,MOTA,IDF1,IDs,train_data,seed,epoch
0,66.681,62.014,72.2,77.035,86.152,55,macaquecpw,1,80
0,62.651,56.867,69.501,72.493,83.956,56,macaquecp,1,90
0,64.854,60.214,70.173,80.314,87.16,56,macaquecp,2,210
0,65.687,61.803,70.263,75.873,83.748,57,macaquecpw,1,170
0,66.32,61.945,71.34,80.32,87.483,56,macaquecpw,2,180
0,64.465,60.02,70.051,78.441,85.125,54,macaquepose,1,90
0,56.002,46.712,67.321,59.371,74.808,48,macaquecpw,2,10
0,63.04,58.498,68.339,74.818,83.732,56,macaquepose,1,140
0,65.422,61.286,70.265,80.883,87.276,59,macaquecp,3,140
0,65.362,60.419,71.417,80.13,87.062,56,macaquecp,2,110
0,64.62,59.328,70.754,72.778,83.115,57,macaquecp,1,110
0,62.168,57.312,67.98,73.827,82.692,56,macaquepose,2,140
0,65.114,59.788,71.685,79.075,85.371,54,macaquepose,3,110
0,63.218,58.882,68.704,75.251,82.482,61,macaquepose,3,50
0,64.629,59.999,70.042,75.191,84.112,60,macaquecpw,1,180
0,67.198,62.24,72.862,81.115,88.75,56,macaquecpw,2,170
0,66.479,62.51,71.079,81.275,87.917,56,macaquecpw,3,120
0,66.281,61.185,72.747,78.423,87.006,58,macaquepose,1,60
0,62.15,56.405,68.756,70.525,81.345,54,macaquecpw,1,70
0,63.959,59.515,69.009,75.517,83.726,57,macaquecp,1,210
0,58.572,51.073,67.454,60.219,75.821,52,macaquecp,3,50
0,65.151,60.445,70.815,77.314,84.669,56,macaquepose,3,210
0,64.691,60.774,69.346,76.259,84.291,59,macaquecpw,3,40
0,61.927,56.602,68.177,73.472,82.61,56,macaquecp,1,60
0,67.104,63.181,71.67,82.318,88.73,56,macaquecpw,3,220
0,57.11,47.757,68.583,57.818,73.658,46,macaquecp,1,10
0,66.623,62.969,70.911,80.439,86.897,57,macaquecpw,3,30
0,66.291,62.222,70.972,81.322,88.007,57,macaquecpw,2,200
0,60.174,51.094,71.084,64.334,78.099,45,macaquecp,3,20
0,61.637,56.88,67.335,75.256,82.949,61,macaquepose,2,230
0,64.164,59.776,69.613,79.763,86.093,60,macaquepose,2,80
0,65.554,61.328,70.535,78.186,85.667,56,macaquecpw,2,90
0,58.254,50.451,67.634,64.406,77.504,51,macaquepose,1,10
0,64.584,59.795,70.155,76.78,85.529,56,macaquecpw,2,100
0,66.4,61.856,71.624,80.824,88.559,56,macaquecpw,3,150
0,63.088,58.197,68.698,72.167,82.168,60,macaquecp,1,160
0,64.022,59.395,69.595,76.128,84.204,68,macaquecp,2,80
0,65.126,60.515,70.456,80.113,87.144,55,macaquecp,2,190
0,62.359,57.377,68.301,74.883,83.364,57,macaquepose,2,130
0,64.051,59.434,69.79,75.707,83.519,57,macaquepose,3,160
0,57.618,51.901,64.299,64.275,76.968,56,macaquepose,3,20
0,63.66,59.859,68.305,78.63,84.205,54,macaquepose,3,190
0,62.836,57.953,68.534,75.956,84.516,56,macaquepose,1,130
0,64.331,59.637,69.676,74.468,83.767,57,macaquecp,1,190
0,64.683,59.888,70.24,78.025,85.415,59,macaquecp,3,130
0,65.492,60.864,70.817,80.451,87.566,55,macaquecp,2,160
0,63.914,58.226,70.698,71.663,82.823,58,macaquecp,2,70
0,65.955,61.535,70.986,80.285,87.162,55,macaquecpw,1,100
0,60.975,55.541,67.623,68.449,80.571,60,macaquecpw,2,60
0,63.128,59.709,67.081,78.808,84.265,57,macaquepose,1,230
0,64.704,60.366,69.792,76.757,83.951,59,macaquepose,2,70
0,63.807,59.482,68.698,77.154,85.325,58,macaquecp,3,230
0,65.029,60.732,69.975,75.666,84.084,59,macaquecpw,1,200
0,56.572,51.068,63.256,63.961,77.463,60,macaquecp,3,30
0,56.338,47.253,67.499,57.272,71.97,47,macaquecpw,1,10
0,61.58,57.607,66.38,75.488,81.438,58,macaquepose,2,220
0,60.923,54.458,68.75,67.145,79.048,57,macaquepose,2,90
0,61.207,53.971,69.699,64.803,77.677,51,macaquecpw,3,20
0,65.543,60.784,70.989,78.506,86.999,55,macaquecpw,2,210
0,64.802,59.828,70.522,75.334,84.981,56,macaquecp,1,170
0,65.297,60.591,70.687,80.86,87.795,58,macaquecp,2,180
0,65.762,61.094,71.239,77.854,85.339,57,macaquecp,2,90
0,63.763,58.793,69.786,75.98,83.822,57,macaquepose,3,170
0,62.962,59.063,67.724,76.881,83.587,58,macaquepose,2,120
0,62.397,57.894,68.082,71.112,80.554,72,macaquepose,3,30
0,66.569,62.66,71.075,79.621,86.653,61,macaquecpw,2,80
0,66.65,62.373,71.536,81.192,89.072,55,macaquecpw,3,140
0,65.289,60.8,70.435,79.034,86.836,58,macaquecpw,2,110
0,66.492,61.875,71.686,79.407,87.526,58,macaquecpw,1,110
0,61.724,56.956,67.407,74.758,82.264,54,macaquecpw,2,70
0,65.924,61.187,71.529,78.405,85.663,55,macaquepose,3,180
0,63.42,58.506,69.127,76.087,84.25,56,macaquepose,1,120
0,64.193,60.022,68.926,77.178,85.707,56,macaquecp,1,180
0,63.522,57.719,70.275,71.035,83.931,62,macaquecp,2,60
0,66.003,61.474,71.223,81.619,88.505,58,macaquecp,2,170
0,65.753,61.391,70.794,80.107,86.852,59,macaquecp,3,120
